"","Year","count"
"1",1965,785
"2",1966,867
"3",1968,977
"4",1969,1199
"5",1970,1303
"6",1971,1401
"7",1972,1787
"8",1973,2214
"9",1974,2580
"10",1975,2861
"11",1976,2981
"12",1977,3492
"13",1978,3736
"14",1979,4053
"15",1980,4461
"16",1981,4690
"17",1982,4873
"18",1983,5298
"19",1984,5376
"20",1985,5746
"21",1986,5903
"22",1987,6029
"23",1988,6138
"24",1989,5973
"25",1990,5477
"26",1991,5770
"27",1992,6143
"28",1993,6301
"29",1994,5812
"30",1995,6114
"31",1996,6374
"32",1997,7226
"33",1998,8235
"34",1999,7801
"35",2000,7708
"36",2001,8202
"37",2002,8142
"38",2003,7714
